Team_No,No of members,Experience(n years),No of projects handled in past,No of projects completed before deadline,Communication,Transparency,Environment Satisfaction,Job Satisfaction,Enthusiasm,Rating
1,5,7,30,27,Medium,High,3,3,3,3
2,7,8,40,38,High,Medium,2,4,3,2
3,6,10,95,95,High,High,2,3,3,3
4,4,1,3,2,Low,Medium,4,1,3,1
5,10,10,100,95,High,High,2,3,3,3
6,8,5,40,35,High,Low,3,1,2,2
7,3,1,8,5,High,Low,2,3,3,1
8,9,7,63,60,High,Medium,2,1,3,3
9,6,4,30,24,Medium,High,3,1,3,2
10,2,2,1,1,Low,Low,1,1,3,1
